job title,hiring organization,date posted,valid through,sector,job location,experience required,education requirement,type of contract,available posts
Office Manager,Arab Leasing Corporation,2025-01-12 15:44:30.306,2025-03-13 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4']",CDI,1
Spécialiste Ressources Humaines,Arab Leasing Corporation,2025-01-12 15:08:34.612,2025-03-13 23:59:59.000,"Banque, Assurance, Finance",['Alger'],['3 À 5 Ans'],['Bac + 3'],CDI,1
Chargé des Opérations,GoDyma,2025-01-12 12:24:33.136,2025-03-13 23:59:59.000,Services,['Oran'],['1 À 2 Ans'],['Bac + 1'],CDD Ou Mission,4
"Technicien Engins spécialisés en Diesel, Hydraulique et électricité",SARL MANIMUS,2025-01-12 10:27:13.000,2025-02-03 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 4', 'Formation Professionnelle']",CDD Ou Mission,4
Juriste,Importante entreprise,2025-01-12 00:00:03.608,2025-02-10 23:59:59.000,Services,['Alger'],['3 À 5 Ans'],"['Bac + 5', 'Bac + 4', 'Bac + 3']",None spécifiée,1
Responsable Réseau de Distribution Commerciale,Soficlef,2025-01-11 22:13:22.282,2025-03-12 23:59:59.000,Industries,['Boumerdès'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDI,1
CADRE FINANCIER,Entreprise anonyme,2025-01-11 12:55:37.766,2025-03-12 23:59:59.000,"Distribution, Commerce",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,1
CADRE COMPTABLE,Entreprise anonyme,2025-01-11 12:51:07.038,2025-03-12 23:59:59.000,"Distribution, Commerce",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,1
Comptable,Entreprise anonyme,2025-01-11 12:49:11.450,2025-03-12 23:59:59.000,"Distribution, Commerce",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4', 'Bac + 3']",CDD Ou Mission,2
Ingénieur en informatique Senior,Entreprise anonyme,2025-01-11 12:45:47.921,2025-03-12 23:59:59.000,"Distribution, Commerce",['Alger'],"['3 À 5 Ans', '6 À 10 Ans']","['Bac + 5', 'Bac + 4']",CDD Ou Mission,1
Assistante de Direction,Entreprise anonyme,2025-01-11 12:33:25.316,2025-03-12 23:59:59.000,"Distribution, Commerce",['Alger'],"['1 À 2 Ans', '3 À 5 Ans']",['Bac + 3'],CDD Ou Mission,2
